Family,Genus,Sp1,TaxStat,Accepted,Ecology
Aizoaceae,Conophytum,tubatum,Synonym,Conophytum minutum (Haw.) N.E.Br. var. pearsonii (N.E.Br.) Boom,Present
Aizoaceae,Conophytum,calculus,Synonym,Conophytum calculus (A.Berger) N.E.Br. subsp. calculus,Present
Malvaceae,Abutilon,angulatum,Accepted,,Indigenous
Malvaceae,Sterculia,murex,Accepted,,Indigenous; Endemic
Aizoaceae,Ruschia,pauciflora,Accepted,,Indigenous; Endemic
Solanaceae,Solanum,tomentosum,Synonym,Solanum tomentosum L.,Indigenous
Adoxaceae,Sambucus,nigra,Synonym,Sambucus canadensis L.,Not indigenous; Naturalised; Invasive
Apocynaceae,Brachystelma,macropetalum,Synonym,Ceropegia macropetala (Schltr.) Bruyns,Indigenous; Endemic
Canellaceae,Warburgia,sp.,Genus level,,
Lamiaceae,Solenostemon,rotundifolius,Accepted,,Indigenous
Lauraceae,Litsea,sebifera,Synonym,Litsea glutinosa (Lour.) C.B.Rob.,Not indigenous; Naturalised
Aizoaceae,Delosperma,cooperi,Synonym,Delosperma cooperi (Hook.f.) L.Bolus,Indigenous
Acanthaceae,Blepharis,dilatata,Synonym,Blepharis subvolubilis C.B.Clarke,Indigenous
Leucobryaceae,Campylopus,simii,Synonym,Campylopus pilifer Brid. var. simii (Schelpe) J.-P.Frahm & Hedd.,Indigenous
Asteraceae,Oedera,humilis,Accepted,,Indigenous
Asphodelaceae,Haworthia,retusa,Synonym,Haworthia retusa (L.) Duval var. retusa,Indigenous
Fabaceae,Acacia,luederitzii,Synonym,Vachellia luederitzii (Engl.) Kyal. & Boatwr.,Indigenous
Geraniaceae,Pelargonium,candicans,Accepted,,Indigenous; Endemic
Moraceae,Ficus,cordata,Accepted,,Indigenous
Hyacinthaceae,Albuca,watermeyeri,Accepted,,Indigenous; Endemic
Phyllanthaceae,Lachnostylis,hirta,Accepted,,Indigenous; Endemic
Orchidaceae,Disa,uncinata,Accepted,,Indigenous; Endemic
Apocynaceae,Orbea,anguinea,Synonym,Orbea variegata (L.) Haw.,Indigenous
Pottiaceae,Barbula,calycina,Accepted,,Indigenous
Ericaceae,Erica,caffrorum,Inclusive,,Indigenous
Aizoaceae,Jordaaniella,spongiosa,Accepted,,Indigenous; Endemic
Boraginaceae,Lobostemon,trichotomus,Accepted,,Indigenous; Endemic
Asteraceae,Conyza,bonariensis,Synonym,Erigeron sumatrensis Retz.,Not indigenous
Amaryllidaceae,Haemanthus,magnificus,Synonym,Scadoxus puniceus (L.) Friis & Nordal,Indigenous
Asparagaceae,Asparagus,cooperi,Accepted,,Indigenous
Oxalidaceae,Oxalis,massoniana,Accepted,,Indigenous; Endemic
Asteraceae,Senecio,rehmannii,Accepted,,Indigenous; Endemic
Asteraceae,Senecio,albopunctatus,Accepted,,Indigenous; Endemic
Rutaceae,Diosma,thyrsophora,Accepted,,Indigenous; Endemic
Amaryllidaceae,Papiria,lanceolata,Synonym,Apodolirion lanceolatum (Thunb.) Benth. & Hook.f. ex B.D.Jacks.,Indigenous
Amaryllidaceae,Clivia,miniata,Synonym,Clivia miniata (Lindl.) Bosse var. citrina W.Watson,Indigenous
Hyacinthaceae,Idothea,ciliaris,Synonym,Drimia elata Jacq. ex Willd.,Indigenous
Anacardiaceae,Rhus,rehmanniana,Synonym,Searsia rehmanniana (Engl.) Moffett,Indigenous
Fabaceae,Melolobium,exudans,Accepted,,Indigenous; Endemic
Asteraceae,Senecio,macroglossoides,Accepted,,Indigenous; Endemic
Araceae,Pistia,stratiotes,Accepted,,Not indigenous; Cultivated; Naturalised; Invasive
Scrophulariaceae,Dischisma,ciliatum,Inclusive,,Indigenous
Proteaceae,Leucadendron,corymbosum,Accepted,,Indigenous; Endemic
Orobanchaceae,Harveya,roseoalba,Accepted,,Indigenous; Endemic
Asteraceae,Cotula,mariae,Synonym,Cotula discolor (DC.) J.C.Manning & Mucina,Indigenous; Endemic
Aizoaceae,Cheiridopsis,olivacea,Synonym,Cheiridopsis robusta (Haw.) N.E.Br.,
Asteraceae,Oedera,decussata,Accepted,,Indigenous; Endemic
Asteraceae,Senecio,chordifolius,Synonym,Curio talinoides (DC.) P.V.Heath var. chordifolius (Hook.f.) P.V.Heath,Indigenous
Plumbaginaceae,Limonium,linifolium,Accepted,,Indigenous; Endemic
Cyperaceae,Elynanthus,cuspidaduts,Synonym,Schoenus cuspidatus Rottb.,Indigenous
Cyperaceae,Fuirena,tenuis,Accepted,,Indigenous
Asteraceae,Cineraria,polycephala,Synonym,Cineraria erodioides DC. var. erodioides,Indigenous; Endemic
Amaranthaceae,Salsola,verdoorniae,Accepted,,Indigenous; Endemic
Fabaceae,Aspalathus,nickhelmei,Accepted,,Indigenous; Endemic
Lamiaceae,Cyclonema,myricoides,Synonym,Rotheca myricoides (Hochst.) Steane & Mabb.,Indigenous
Amaryllidaceae,Brunsvigia,undulata,Accepted,,Indigenous; Endemic
Aizoaceae,Antimima,leucanthera,Accepted,,Indigenous; Endemic
Apocynaceae,Ceropegia,capensis,Accepted,,Indigenous; Endemic
Polypodiaceae,Ctenopteris,flabelliformis,Synonym,Melpomene flabelliformis (Poir.) A.R.Sm. & R.C.Moran,Indigenous
Apocynaceae,Ceropegia,praelonga,Accepted,,Indigenous
Fabaceae,Senegalia,burkei,Accepted,,Indigenous
Solanaceae,Solanum,subexarmatum,Synonym,Solanum lichtensteinii Willd.,Indigenous
Ericaceae,Erica,corifolia,Accepted,,Indigenous; Endemic
Asphodelaceae,Aloe,candelabrum,Accepted,,Indigenous; Endemic
Asteraceae,Macowania,sp.,Genus level,,
Cyperaceae,Ficinia,polystachya,Accepted,,Indigenous; Endemic
Cyperaceae,Cyperus,longus,Synonym,Cyperus longus L. var. tenuiflorus (Rottb.) Boeckeler,Indigenous
Asteraceae,Coreopsis,tinctoria,Accepted,,Not indigenous; Naturalised
Iridaceae,Ixia,latifolia,Synonym,Ixia latifolia D.Delaroche,Indigenous; Endemic
Asteraceae,Cotula,montana,Accepted,,Indigenous; Endemic
Aizoaceae,Erepsia,aspera,Accepted,,Indigenous; Endemic
Hypnaceae,Ectropothecium,perrotii,Accepted,,Indigenous
Hyacinthaceae,Ornithogalum,saundersiae,Accepted,,Indigenous
Poaceae,Axonopus,sp.,Genus level,,
Fabaceae,Lotononis,procumbens,Synonym,Leobordea procumbens (Bolus) B.-E.van Wyk & Boatwr.,Indigenous
Apocynaceae,Gomphocarpus,fruticosus,Accepted,,Indigenous
Plumbaginaceae,Limonium,scabrum,Accepted,,Indigenous
Fabaceae,Podalyria,myrtillifolia,Synonym,Podalyria burchellii DC.,Indigenous
Aizoaceae,Machairophyllum,sp.,Genus level,,
Iridaceae,Gladiolus,deserticola,Accepted,,Indigenous; Endemic
Fabaceae,Pomaria,burchellii,Inclusive,,Indigenous
Scrophulariaceae,Polycarena,lilacina,Accepted,,Indigenous; Endemic
Polygonaceae,Rumex,obtusifolius,Accepted,,Not indigenous; Naturalised
Hyacinthaceae,Merwilla,plumbea,Inclusive,,Indigenous
Polypodiaceae,Xiphopteris,flabelliformis,Synonym,Melpomene flabelliformis (Poir.) A.R.Sm. & R.C.Moran,Indigenous
